code,long,lat
ABE,-75.440000002,40.65272222
ABI,-99.68111111,32.41064814666667
ABQ,-106.608277778,35.040000002
ABR,-98.42217592499999,45.44828703833334
ABY,-84.195277775,31.53388889
ACK,-70.06005555600001,41.253777782
ACT,-97.229444445,31.611805555
ACV,-124.10828703499999,40.978101855
ACY,-74.57777778,39.456944445000005
AEX,-92.547777775,31.325833335
AGS,-81.96444444,33.36944444666667
ALB,-73.80361110999999,42.7475
ALO,-92.4,42.556527775000006
ALW,-118.28745370333333,46.09453703666666
AMA,-101.71657407,35.22462962666666
APN,-83.55805555500001,45.079861115
ART,-76.02027777800001,43.99172221799999
ASE,-106.868666666,39.22283333399999
ATL,-84.42761904857143,33.63845238142858
ATW,-88.519333336,44.258000004
AUS,-97.685694445,30.246250000000003
AVL,-82.54211111,35.43522222
AVP,-75.72383333,41.33861111
AZA,-111.65555556,33.30777778
AZO,-85.55263889,42.235416665
BDL,-72.68328703499999,41.938703705
BFF,-103.59925926,41.87490741
BFL,-119.05555555666666,35.4325
BGM,-75.97761111,42.207055554
BGR,-68.82791667000001,44.80763889
BHM,-86.754722225,33.563263892500004
BIL,-108.54305555666667,45.807500000000005
BIS,-100.74916666499999,46.775833335
BJI,-94.93416666499999,47.5098611075
BLI,-122.53611111000001,48.79361111
BLV,-89.843194445,38.54402778
BMI,-88.91972222,40.47879629333333
BNA,-86.68,36.125555555
BOI,-116.22388889,43.56486111
BOS,-71.00625,42.363333335
BPT,-94.02013889,29.95083333
BQK,-81.46638889,31.258981483333333
BRD,-94.13555555714285,46.401190477142855
BRO,-97.42638888833334,25.907222220000005
BTM,-112.495694445,45.952916665000004
BTR,-91.15011111199999,30.532666670000005
BTV,-73.153194445,44.47236111
BUF,-78.73240740833334,42.940648151666664
BUR,-118.35805555666667,34.200185186666666
BWI,-76.668888888,39.17544444400001
BZN,-111.15268518333333,45.777870369999995
CAE,-81.11814814666667,33.93861111333333
CAK,-81.44263889000001,40.914444445
CDC,-113.0975,37.701666665000005
CGI,-89.57124999999999,37.224444445
CHA,-85.20361111,35.035833335
CHO,-78.45261111200001,38.139611110000004
CHS,-80.03972222499999,32.898888889999995
CID,-91.70768518333334,41.88453703333334
CIU,-84.469305555,46.246388885
CKB,-80.228111112,39.296888892
CLE,-81.853777776,41.409722218
CLL,-96.36361111000001,30.588703703333334
CLT,-80.94268518666667,35.215555556666665
CMH,-82.88981481166667,39.99634259166666
CMI,-88.27875,40.039305555
CMX,-88.48777778,47.168055555
CNY,-109.7519444425,38.757430555
COD,-109.025694445,44.518055555000004
COS,-104.705,38.80736111
COU,-92.218944446,38.816833333999995
